model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
LLAMA3.1_70B,4000,500,320,3.775,320,320,296.524,168.757,3.775,0.944,1883.872,470.968,5.926,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,74.651,0.5,2.0,318.0,5438.0,5120,318.0,trtllm,0.20.0,h100_sxm,470.968
LLAMA3.1_70B,4000,500,288,3.754,288,288,293.168,152.607,3.754,0.938,1873.077,468.269,6.553,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,69.156,0.45,2.0,286.0,5406.0,5120,286.0,trtllm,0.20.0,h100_sxm,468.269
LLAMA3.1_70B,4000,500,256,3.735,256,256,274.167,137.083,3.735,0.934,1863.743,465.936,7.295,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,63.426,1.0,1.0,255.0,2303.0,2048,255.0,trtllm,0.20.0,h100_sxm,465.936
LLAMA3.1_70B,4000,500,288,3.735,288,288,273.94,136.97,3.735,0.934,1863.626,465.907,7.301,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,68.921,1.125,1.0,287.0,2335.0,2048,287.0,trtllm,0.20.0,h100_sxm,465.907
LLAMA3.1_70B,4000,500,256,3.727,256,256,289.792,136.446,3.727,0.932,1859.905,464.976,7.329,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,63.66,0.4,2.0,254.0,5374.0,5120,254.0,trtllm,0.20.0,h100_sxm,464.976
LLAMA3.1_70B,4000,500,240,3.722,240,240,270.318,128.934,3.722,0.93,1857.163,464.291,7.756,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,60.678,0.938,1.0,239.0,2287.0,2048,239.0,trtllm,0.20.0,h100_sxm,464.291
LLAMA3.1_70B,4000,500,224,3.698,224,224,266.696,121.073,3.698,0.924,1845.3,461.325,8.259,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,57.93,0.875,1.0,223.0,2271.0,2048,223.0,trtllm,0.20.0,h100_sxm,461.325
LLAMA3.1_70B,4000,500,208,3.665,208,208,263.074,113.389,3.665,0.916,1828.975,457.244,8.819,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,55.182,0.812,1.0,207.0,2255.0,2048,207.0,trtllm,0.20.0,h100_sxm,457.244
LLAMA3.1_70B,4000,500,192,3.628,192,192,259.452,105.688,3.628,0.907,1810.566,452.641,9.462,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,52.434,0.75,1.0,191.0,2239.0,2048,191.0,trtllm,0.20.0,h100_sxm,452.641
LLAMA3.1_70B,4000,500,160,3.605,160,160,299.844,88.7,3.605,0.901,1798.852,449.713,11.274,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,46.9,0.833,1.0,159.0,1695.0,1536,159.0,trtllm,0.20.0,h100_sxm,449.713
LLAMA3.1_70B,4000,500,144,3.594,144,144,284.695,71.174,3.594,0.898,1793.226,448.307,14.05,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,44.113,1.125,1.0,143.0,1167.0,1024,143.0,trtllm,0.20.0,h100_sxm,448.307
LLAMA3.1_70B,4000,500,112,3.522,112,112,278.549,63.568,3.522,0.88,1757.356,439.339,15.731,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,38.617,0.875,1.0,111.0,1135.0,1024,111.0,trtllm,0.20.0,h100_sxm,439.339
LLAMA3.1_70B,4000,500,96,3.424,96,96,272.403,56.006,3.424,0.856,1708.446,427.111,17.855,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,35.87,0.75,1.0,95.0,1119.0,1024,95.0,trtllm,0.20.0,h100_sxm,427.111
LLAMA3.1_70B,4000,500,80,3.276,80,80,266.257,48.73,3.276,0.819,1634.816,408.704,20.521,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,33.122,0.625,1.0,79.0,1103.0,1024,79.0,trtllm,0.20.0,h100_sxm,408.704
LLAMA3.1_70B,4000,500,64,3.147,64,64,260.164,40.533,3.147,0.787,1570.113,392.528,24.671,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,30.374,0.5,1.0,63.0,1087.0,1024,63.0,trtllm,0.20.0,h100_sxm,392.528
LLAMA3.1_70B,4000,500,64,3.079,64,64,268.91,40.206,3.079,0.77,1536.201,384.05,24.872,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,30.686,0.1,2.0,62.0,5182.0,5120,62.0,trtllm,0.20.0,h100_sxm,384.05
LLAMA3.1_70B,4000,500,56,3.022,56,56,257.519,36.894,3.022,0.756,1508.093,377.023,27.105,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,29.0,0.438,1.0,55.0,1079.0,1024,55.0,trtllm,0.20.0,h100_sxm,377.023
LLAMA3.1_70B,4000,500,56,2.952,56,56,213.744,36.878,2.952,0.738,1473.084,368.271,27.116,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,29.227,0.112,1.0,55.0,4055.0,4000,55.0,trtllm,0.20.0,h100_sxm,368.271
LLAMA3.1_70B,4000,500,56,2.95,56,56,293.216,36.421,2.95,0.738,1472.214,368.053,27.457,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,29.352,0.08,2.0,54.0,5686.0,5632,54.0,trtllm,0.20.0,h100_sxm,368.053
LLAMA3.1_70B,4000,500,48,2.87,48,48,254.873,33.268,2.87,0.717,1432.065,358.016,30.059,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.626,0.375,1.0,47.0,1071.0,1024,47.0,trtllm,0.20.0,h100_sxm,358.016
LLAMA3.1_70B,4000,500,48,2.839,48,48,278.388,33.174,2.839,0.71,1416.851,354.213,30.144,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.743,0.15,1.0,47.0,2607.0,2560,47.0,trtllm,0.20.0,h100_sxm,354.213
LLAMA3.1_70B,4000,500,48,2.806,48,48,213.083,33.129,2.806,0.702,1400.352,350.088,30.185,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.853,0.096,1.0,47.0,4047.0,4000,47.0,trtllm,0.20.0,h100_sxm,350.088
LLAMA3.1_70B,4000,500,48,2.798,48,48,242.582,33.055,2.798,0.699,1396.128,349.032,30.253,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.9,0.083,2.0,46.0,4654.0,4608,46.0,trtllm,0.20.0,h100_sxm,349.032
LLAMA3.1_70B,4000,500,48,2.791,48,48,267.562,32.984,2.791,0.698,1392.901,348.225,30.318,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.939,0.075,2.0,46.0,5166.0,5120,46.0,trtllm,0.20.0,h100_sxm,348.225
LLAMA3.1_70B,4000,500,40,2.677,40,40,252.228,29.681,2.677,0.669,1335.969,333.992,33.692,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.252,0.312,1.0,39.0,1063.0,1024,39.0,trtllm,0.20.0,h100_sxm,333.992
LLAMA3.1_70B,4000,500,40,2.64,40,40,277.066,29.646,2.64,0.66,1317.536,329.384,33.732,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.369,0.125,1.0,39.0,2599.0,2560,39.0,trtllm,0.20.0,h100_sxm,329.384
LLAMA3.1_70B,4000,500,40,2.622,40,40,212.422,29.416,2.622,0.655,1308.271,327.068,33.996,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.479,0.08,1.0,39.0,4039.0,4000,39.0,trtllm,0.20.0,h100_sxm,327.068
