model,isl,osl,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,tokens/s/gpu_cluster
LLAMA3.1_70B,4000,500,224,12.987,1,1,3,112,112,2,207.917,31.822,12.987,0.812,6493.5,405.844,31.425,4.81,7.053,16,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,74.203,trtllm,0.20.0,h100_sxm,405.844
LLAMA3.1_70B,4000,500,184,12.424,1,1,3,92,92,2,207.917,29.678,12.424,0.776,6212.0,388.25,33.695,4.81,6.212,16,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,67.337,trtllm,0.20.0,h100_sxm,388.25
LLAMA3.1_70B,4000,500,176,12.024,1,1,3,88,88,2,207.917,29.333,12.024,0.752,6012.0,375.75,34.092,4.81,6.012,16,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,65.963,trtllm,0.20.0,h100_sxm,375.75
LLAMA3.1_70B,4000,500,128,11.693,1,1,3,128,128,1,207.917,21.937,11.693,0.731,5846.5,365.406,45.585,4.81,11.693,16,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,41.346,trtllm,0.20.0,h100_sxm,365.406
LLAMA3.1_70B,4000,500,84,8.658,1,1,2,84,84,1,207.917,19.364,8.658,0.721,4329.0,360.75,51.642,4.81,8.693,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,33.793,trtllm,0.20.0,h100_sxm,270.5625
LLAMA3.1_70B,4000,500,80,8.37,1,1,2,80,80,1,207.917,19.153,8.37,0.697,4185.0,348.75,52.211,4.81,8.37,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,33.106,trtllm,0.20.0,h100_sxm,261.5625
LLAMA3.1_70B,4000,500,76,8.258,1,1,2,76,76,1,207.917,18.442,8.258,0.688,4129.0,344.083,54.223,4.81,8.258,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,32.419,trtllm,0.20.0,h100_sxm,258.06225
LLAMA3.1_70B,4000,500,72,8.137,1,1,2,72,72,1,207.917,17.731,8.137,0.678,4068.5,339.042,56.397,4.81,8.137,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,31.733,trtllm,0.20.0,h100_sxm,254.2815
LLAMA3.1_70B,4000,500,68,8.006,1,1,2,68,68,1,207.917,17.02,8.006,0.667,4003.0,333.583,58.753,4.81,8.006,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,31.046,trtllm,0.20.0,h100_sxm,250.18725
LLAMA3.1_70B,4000,500,64,7.864,1,1,2,64,64,1,207.917,16.309,7.864,0.655,3932.0,327.667,61.314,4.81,7.864,12,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.762,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,30.359,trtllm,0.20.0,h100_sxm,245.75025
